x,y
63.9,1.431
63.8,1.43376
63.7,1.43651
63.6,1.43925
63.5,1.44199
63.4,1.44471
63.3,1.44743
63.2,1.45014
63.1,1.45285
63,1.45554
62.9,1.45823
62.8,1.46091
62.7,1.46358
62.6,1.46624
62.5,1.4689
62.4,1.47154
62.3,1.47418
62.2,1.47681
62.1,1.47944
62,1.48205
61.9,1.48466
61.8,1.48726
61.7,1.48985
61.6,1.49243
61.5,1.49501
61.4,1.49757
61.3,1.50013
61.2,1.50268
61.1,1.50522
61,1.50776
60.9,1.51028
60.8,1.5128
60.7,1.51531
60.6,1.51781
60.5,1.5203
60.4,1.52279
60.3,1.52526
60.2,1.52773
60.1,1.53019
60,1.53264
59.9,1.53509
59.8,1.53752
59.7,1.53995
59.6,1.54237
59.5,1.54478
59.4,1.54718
59.3,1.54957
59.2,1.55195
59.1,1.55433
59,1.5567
58.9,1.55906
58.8,1.56141
58.7,1.56375
58.6,1.56608
58.5,1.56841
58.4,1.57072
58.3,1.57303
58.2,1.57533
58.1,1.57762
58,1.5799
57.9,1.58218
57.8,1.58444
57.7,1.5867
57.6,1.58895
57.5,1.59119
57.4,1.59342
57.3,1.59564
57.2,1.59785
57.1,1.60005
57,1.60225
56.9,1.60444
56.8,1.60661
56.7,1.60878
56.6,1.61094
56.5,1.6131
56.4,1.61524
56.3,1.61737
56.2,1.6195
56.1,1.62161
56,1.62372
55.9,1.62582
55.8,1.62791
55.7,1.62999
55.6,1.63206
55.5,1.63412
55.4,1.63617
55.3,1.63822
55.2,1.64025
55.1,1.64228
55,1.6443
54.9,1.6463
54.8,1.6483
54.7,1.65029
54.6,1.65227
54.5,1.65425
54.4,1.65621
54.3,1.65816
54.2,1.66011
54.1,1.66204
54,1.66397
53.9,1.66588
53.8,1.66779
53.7,1.66969
53.6,1.67158
53.5,1.67345
53.4,1.67532
53.3,1.67718
53.2,1.67904
53.1,1.68088
53,1.68271
52.9,1.68453
52.8,1.68635
52.7,1.68815
52.6,1.68994
52.5,1.69173
52.4,1.69351
52.3,1.69527
52.2,1.69703
52.1,1.69877
52,1.70051
51.9,1.70224
51.8,1.70396
51.7,1.70567
51.6,1.70736
51.5,1.70905
51.4,1.71073
51.3,1.7124
51.2,1.71406
51.1,1.71571
51,1.71735
50.9,1.71898
50.8,1.7206
50.7,1.72222
50.6,1.72382
50.5,1.72541
50.4,1.72699
50.3,1.72856
50.2,1.73012
50.1,1.73167
50,1.73321
49.9,1.73475
49.8,1.73627
49.7,1.73778
49.6,1.73928
49.5,1.74077
49.4,1.74225
49.3,1.74373
49.2,1.74519
49.1,1.74664
49,1.74808
48.9,1.74951
48.8,1.75093
48.7,1.75234
48.6,1.75374
48.5,1.75513
48.4,1.75651
48.3,1.75788
48.2,1.75924
48.1,1.76058
48,1.76192
47.9,1.76325
47.8,1.76457
47.7,1.76587
47.6,1.76717
47.5,1.76845
47.4,1.76973
47.3,1.77099
47.2,1.77225
47.1,1.77349
47,1.77472
46.9,1.77595
46.8,1.77716
46.7,1.77836
46.6,1.77955
46.5,1.78073
46.4,1.7819
46.3,1.78306
46.2,1.7842
46.1,1.78534
46,1.78646
45.9,1.78758
45.8,1.78868
45.7,1.78978
45.6,1.79086
45.5,1.79193
45.4,1.79299
45.3,1.79404
45.2,1.79508
45.1,1.7961
45,1.79712
44.9,1.79812
44.8,1.79912
44.7,1.8001
44.6,1.80107
44.5,1.80203
44.4,1.80298
44.3,1.80392
44.2,1.80485
44.1,1.80576
44,1.80666
43.9,1.80756
43.8,1.80844
43.7,1.80931
43.6,1.81017
43.5,1.81101
43.4,1.81185
43.3,1.81267
43.2,1.81348
43.1,1.81429
43,1.81507
42.9,1.81585
42.8,1.81662
42.7,1.81737
42.6,1.81811
42.5,1.81885
42.4,1.81956
42.3,1.82027
42.2,1.82097
42.1,1.82165
42,1.82232
41.9,1.82298
41.8,1.82363
41.7,1.82427
41.6,1.82489
41.5,1.8255
41.4,1.8261
41.3,1.82669
41.2,1.82727
41.1,1.82783
41,1.82838
40.9,1.82892
40.8,1.82945
40.7,1.82996
40.6,1.83047
40.5,1.83096
40.4,1.83143
40.3,1.8319
40.2,1.83235
40.1,1.83279
40,1.83322
39.9,1.83364
39.8,1.83404
39.7,1.83443
39.6,1.83481
39.5,1.83518
39.4,1.83553
39.3,1.83587
39.2,1.8362
39.1,1.83651
39,1.83682
38.9,1.8371
38.8,1.83738
38.7,1.83764
